Season,Team,Opponent,Week,Day,Time,Home_Team,WDVOA,DAVE,Betting Spread,Scoring Margin,SRD
2020,ARI,NYG,14,Sun,1:00PM,0,2.00%,1.90%,-2.5,0,-2.5
2020,ATL,LAC,14,Sun,4:25PM,0,-3.50%,-3.00%,-1.0,0,-1.0
2020,BAL,CLE,14,Mon,8:15PM,0,8.50%,8.70%,-3.0,0,-3.0
2020,BUF,PIT,14,Sun,8:20PM,1,16.70%,15.90%,-2.0,0,-2.0
2020,CAR,DEN,14,Sun,1:00PM,1,-1.30%,-2.10%,-3.5,0,-3.5
2020,CHI,HOU,14,Sun,1:00PM,1,-4.40%,-4.20%,2.0,0,2.0
2020,CIN,DAL,14,Sun,1:00PM,1,-27.10%,-26.20%,3.0,0,3.0
2020,CLE,BAL,14,Mon,8:15PM,1,-3.00%,-3.20%,3.0,0,3.0
2020,DAL,CIN,14,Sun,1:00PM,0,-22.60%,-21.10%,-3.0,0,-3.0
2020,DEN,CAR,14,Sun,1:00PM,0,-23.10%,-22.10%,3.5,0,3.5
2020,DET,GB,14,Sun,4:25PM,1,-15.80%,-14.60%,8.0,0,8.0
2020,GB,DET,14,Sun,4:25PM,0,20.30%,19.10%,-8.0,0,-8.0
2020,HOU,CHI,14,Sun,1:00PM,0,-5.90%,-5.60%,-2.0,0,-2.0
2020,IND,LV,14,Sun,4:05PM,0,15.80%,15.20%,-3.0,0,-3.0
2020,JAX,TEN,14,Sun,1:00PM,1,-19.70%,-19.00%,7.5,0,7.5
2020,KC,MIA,14,Sun,1:00PM,0,28.20%,27.80%,-7.0,0,-7.0
2020,LAC,ATL,14,Sun,4:25PM,1,-28.90%,-26.90%,1.0,0,1.0
2020,LAR,NE,14,Thu,8:20PM,1,20.40%,19.40%,-5.0,21,16.0
2020,LV,IND,14,Sun,4:05PM,1,-5.40%,-5.30%,3.0,0,3.0
2020,MIA,KC,14,Sun,1:00PM,1,15.10%,12.60%,7.0,0,7.0
2020,MIN,TB,14,Sun,1:00PM,0,-2.40%,-2.30%,7.0,0,7.0
2020,NE,LAR,14,Thu,8:20PM,0,-4.80%,-4.40%,5.0,-21,-16.0
2020,NO,PHI,14,Sun,4:25PM,0,38.20%,36.70%,-7.5,0,-7.5
2020,NYG,ARI,14,Sun,1:00PM,1,-8.60%,-8.40%,2.5,0,2.5
2020,NYJ,SEA,14,Sun,4:05PM,0,-32.90%,-31.40%,14.5,0,14.5
2020,PHI,NO,14,Sun,4:25PM,1,-15.60%,-14.10%,7.5,0,7.5
2020,PIT,BUF,14,Sun,8:20PM,0,27.10%,25.80%,2.0,0,2.0
2020,SEA,NYJ,14,Sun,4:05PM,1,9.00%,9.00%,-14.5,0,-14.5
2020,SF,WAS,14,Sun,4:25PM,1,0.80%,0.80%,-3.0,0,-3.0
2020,TB,MIN,14,Sun,1:00PM,1,23.00%,22.00%,-7.0,0,-7.0
2020,TEN,JAX,14,Sun,1:00PM,0,4.60%,4.60%,-7.5,0,-7.5
2020,WAS,SF,14,Sun,4:25PM,0,0.00%,-1.30%,3.0,0,3.0
